category,intent,keyword,tfidf score
ACCOUNT,delete_account,user account close,0.004403747448100478
ACCOUNT,delete_account,user account delete,0.005531133774713757
ACCOUNT,delete_account,user account need,0.0028634757446454407
ACCOUNT,delete_account,user account please,0.00442481916315692
ACCOUNT,delete_account,user account remove,0.006205200265629157
ACCOUNT,delete_account,wan,0.01274036529649034
ACCOUNT,delete_account,wan na,0.011904420798681831
ACCOUNT,delete_account,wan na cancel,0.0035250413966967774
ACCOUNT,delete_account,wan na close,0.00494982025741836
ACCOUNT,delete_account,wan na remove,0.0035728060041310423
ACCOUNT,delete_account,want,0.08022118878160464
ACCOUNT,delete_account,want account,0.022152605479749402
ACCOUNT,delete_account,want account close,0.0063750247908174965
ACCOUNT,delete_account,want account delete,0.004385400155558356
ACCOUNT,delete_account,want account help,0.0034327408978700852
ACCOUNT,delete_account,want account remove,0.00702265884027022
ACCOUNT,delete_account,want cancel,0.012873940423782475
ACCOUNT,delete_account,want cancel online,0.0033827556658203835
ACCOUNT,delete_account,want cancel user,0.0033840486526476926
ACCOUNT,delete_account,want close,0.014474039168460816
ACCOUNT,delete_account,want close profile,0.004086617828197231
ACCOUNT,delete_account,want close user,0.0034730014587542523
ACCOUNT,delete_account,want delete,0.013733298079379397
ACCOUNT,delete_account,want fuck,0.0035319529143475093
ACCOUNT,delete_account,want online,0.0205024366279774
ACCOUNT,delete_account,want online account,0.020263665133373875
ACCOUNT,delete_account,want profile,0.02566688934643924
ACCOUNT,delete_account,want profile cancel,0.006138525407776369
ACCOUNT,delete_account,want profile close,0.005798937264821901
ACCOUNT,delete_account,want profile delete,0.006726052344643483
ACCOUNT,delete_account,want profile need,0.002613893821156525
ACCOUNT,delete_account,want profile remove,0.004852893670935666
ACCOUNT,delete_account,want remove,0.014279924939909374
ACCOUNT,delete_account,want user,0.022465178488347136
ACCOUNT,delete_account,want user account,0.022465178488347136
PAYMENT,payment_issue,agent,0.03463136584364149
PAYMENT,payment_issue,agent could,0.0102014046900439
PAYMENT,payment_issue,agent inform,0.01097644149286307
PAYMENT,payment_issue,agent notify,0.012015772918853772
PAYMENT,payment_issue,agent report,0.011736422894904392
PAYMENT,payment_issue,agent report issue,0.005063461936871392
PAYMENT,payment_issue,agent solve,0.007641108248413942
PAYMENT,payment_issue,anyway,0.032458847820431416
PAYMENT,payment_issue,anyway help,0.005827507087552388
PAYMENT,payment_issue,anyway inform,0.010500649095088768
PAYMENT,payment_issue,anyway need,0.0037264202908803687
PAYMENT,payment_issue,anyway need help,0.0037264202908803687
PAYMENT,payment_issue,anyway notify,0.010724479352298207
PAYMENT,payment_issue,anyway report,0.010414039179348127
PAYMENT,payment_issue,anyway want,0.004391448887934326
PAYMENT,payment_issue,ask,0.03472226214708033
PAYMENT,payment_issue,ask agent,0.03440681678455207
PAYMENT,payment_issue,ask agent could,0.0102014046900439
PAYMENT,payment_issue,ask agent inform,0.01097644149286307
PAYMENT,payment_issue,ask agent notify,0.011715378379595702
PAYMENT,payment_issue,ask agent report,0.011648762387660565
PAYMENT,payment_issue,ask agent solve,0.007641108248413942
PAYMENT,payment_issue,attempt,0.028927808390812264
PAYMENT,payment_issue,attempt make,0.017336346644439764
PAYMENT,payment_issue,attempt make payment,0.017336346644439764
PAYMENT,payment_issue,attempt pay,0.017929777830958896
PAYMENT,payment_issue,attempt pay card,0.008196360939139407
PAYMENT,payment_issue,attempt pay charge,0.0075854890993930614
PAYMENT,payment_issue,card,0.04494578004848736
PAYMENT,payment_issue,card charge,0.019956312285596793
PAYMENT,payment_issue,card charge anyway,0.019909576432217635
PAYMENT,payment_issue,card help,0.006481710062310141
PAYMENT,payment_issue,card inform,0.009242966647950539
PAYMENT,payment_issue,card notify,0.007987358399332404
PAYMENT,payment_issue,card report,0.009765185905082333
PAYMENT,payment_issue,charge,0.0325290053718732
PAYMENT,payment_issue,charge anyway,0.03229680775802299
PAYMENT,payment_issue,charge anyway help,0.005827507087552388
PAYMENT,payment_issue,charge anyway inform,0.010430364459042366
PAYMENT,payment_issue,charge anyway need,0.0037264202908803687
PAYMENT,payment_issue,charge anyway notify,0.010643412989898017
PAYMENT,payment_issue,charge anyway report,0.010261046618804032
PAYMENT,payment_issue,charge anyway want,0.004391448887934326
PAYMENT,payment_issue,could,0.022065372007178456
PAYMENT,payment_issue,could ask,0.011025086652688827
PAYMENT,payment_issue,could ask agent,0.011025086652688827
PAYMENT,payment_issue,could inform,0.005227235573816923
PAYMENT,payment_issue,could report,0.0050953864419888625
PAYMENT,payment_issue,error,0.044750161518793845
PAYMENT,payment_issue,error attempt,0.01495510427709854
PAYMENT,payment_issue,error attempt make,0.008994386981799761
PAYMENT,payment_issue,error attempt pay,0.008362209591595062
PAYMENT,payment_issue,error message,0.028017358158544572
PAYMENT,payment_issue,error message attempt,0.015133053307488169
PAYMENT,payment_issue,error message pop,0.007465862181725092
PAYMENT,payment_issue,error message try,0.0141454842454198
PAYMENT,payment_issue,error pop,0.00924739720822889
PAYMENT,payment_issue,error tried,0.0066765580230937396
PAYMENT,payment_issue,error tried pay,0.0066765580230937396
